Destination Name,Review Head,Review Body,Rating,Date
Gheralta Rock,Un-missable experience,This was our second visit in 4 years to the Gheralta Range - it is spectacular in all ways.  Wonderful scenery and even more wonderful and amazing rock-hewn churches that reward the intrepid climbers.,5,October 2013
Gheralta Rock,Wonderland,"Gheralta Rock is a bit of a misnomer. In fact, Gheralta is only one in a string of sandstone buttes (table-cliffs) that are strewn at the edges of a valley. The rock-.hewn church of Maria Korkor and the smaller (chapel-size) Daniel Korkor are perched atop...",5,July 2013
Gheralta Rock,Beautiful surroundings nice but somewhat difficult climb to Mariam Korkor church,The landscape is beautiful and the view from the height of Mariam Korkor is breathtaking. The rock hewn church is certainly worth the visit.,5,November 2011
Ethnological Museum,A must visit,"We almost missed the Ethnographic Museum because we had such a short time in Addis. Luckily we were able to speed through a few things on our last day and make it there before closing.  Although not as big as European museums, this is the...",4,February 2015
Ethnological Museum,Interesting cultural history,Nice display of Ethiopian culture and discussion of different areas and peoples that make such a varied experience in seeing this country.  Emperor Haile Selassie and his Queen have their bedrooms and bathrooms on display. Don't miss the musical instruments.,4,February 2015
Ethnological Museum,Very interesting,Good visit to do before going for a tour in Ethiopia. It helps to understand the country you are going to discover.,4,October 2014
Ethnological Museum,Fantastic!,A must!  This museum displays the history and culture of Ethiopia in a great way through its different cultural groups and tribes.  The displays are very well organized and the building itself is fantastic!,5,February 2015
Ethnological Museum,Pity about the power outage,This is a great museum.  Unfortunately the day I was there the power was off so I could not see all the exhibits - but that's Africa!  Well laid out with good explanations.,4,December 2014
Ethnological Museum,Extensive tour through Ethiopian history,"For those who like to understand the history and development of the countries they visit, this is the place to go in Ethiopia. Located in the University in the former palace of Haile Sellasie, it has both friendly and helpful guides, and extensive written explanations...",4,February 2015
Ethnological Museum,Good info about Ethiopian live,From childhood to death you follow Ethiopian way of living. Take your time and read information and you will better understand the country you are in.,4,December 2014
Ethnological Museum,very informative,"Take the time to see this museum if you can...it provides a rich cultural and political history of Ethiopia. The displays are somewhat shoddy compared to European standards, but look beyond them to learn about Ethiopia.",3,January 2015
Ethnological Museum,A great way to sample Ethiopia's diversity,"The museum has a superb exhibit that displays artifacts from many of the cultures, organized by life cycle stages. It's s a wonderful way to learn about the cultures you have already seen or prepare you for those you will see. Since it is on...",5,November 2014
Ethnological Museum,Good for all round knowledge,"Quite a high admission price, but great overview of the different tribes and history of Ethiopia covering thousands of years into the past into modern day.",4,February 2014
National Museum of Ethiopia,Lucy is a must,"Great to see Lucys s skeleton out in the open and available for close inspection. Brilliant guide explained everything well. I dont normally enjoy museums , but this was good .",4,November 2015
National Museum of Ethiopia,Small but interesting enough,"Small museum with two exhibitions of interest: Lucy of course, displayed in a nice explanatory set up on evolution of human species. And a collection of memorabilia of the emperors, including Haile Selassies throne, their crowns and gowns. Worth a visit, including the nice museum...",3,November 2015
National Museum of Ethiopia,Step back in time,"The museum must be visit when you are in Addis Ababa. Have a large colection of artifacts and of course the famous Lucy.
You may need 2-3 hours to visit the museum and also should enjoy the traditional restaurant nearby.",4,July 2015
National Museum of Ethiopia,Dont go if you know where you came from!,This National Museum reflects the traumas of this county's troubled past and impoverishment BUT it has one outstanding floor of exhibits relating to the evolution of mankind and the earliest specimens of us (Homo Sapiens). the exhibits and logicality of presentation are quite outstanding. Worth...,4,November 2015
National Museum of Ethiopia,Lucy and not much else,"Disappointing. Only $.50 to get in, and apart ft of Lucy there are really no other exhibits of note. Probably worth about  the entry price.

Museum of Ethonolgy much more interesting",2,November 2015
National Museum of Ethiopia,If you want to spend 1-2 hrs in the city,"Nice museum, especially the basement is well arranged and the information is given in details. Rest 3 floors do not have much to offer.",4,November 2015
National Museum of Ethiopia,"I thought it was interesting, but we had a guide","When purchasing the tickets our driver arranged a guide for us, so this probably made the visit more interesting.

The museum is over 4 or 5 floors with each floor covering different things

The basement is where most people want to go, this contains the...",4,November 2015
National Museum of Ethiopia,Very good,History is well represented with details of Lucy available. Well designed and well managed. Quite and interesting place,4,March 2015
National Museum of Ethiopia,Few bones and nothing more,"I was really disappointed while I was there. I saw everything in 30 minutes. Lucy hmmm few bones and that's all. I've never been a huge fan of museums, but that one was certainly one of the worst",3,December 2014
National Museum of Ethiopia,Lack of information,Lucy exhibition is a let down. There is not much useful information or any real link between the exhibits.,3,May 2015
Ethnological Museum,So many amazing prices in poorly lit rooms....,"As we strained our eyes to look at all the incredible pieces of Ethiopian ethnological history in this former palace of the Emperor Selassie, we kept praying the lighting would improve.  Ethiopia still has frequent black outs, and sadly, as happened with us, when the...",3,September 2018
Ethnological Museum,The place where Lucy stay.,"You can learn a lot in this museum, History, Religious, He is amazing, splendid. Ask Migbaru to bring you there.
I recommand you Migbaru, a good guide and a good man.
His contact : 
Fantamig1@gmail.com
+251943802658
Have a nice trip with my friend Migbaru Tsahay",4,December 2017
Ethnological Museum,One on the checklist,"Top of the list of places to visit in Addis, formerly the palace now a university department ... and museum. A weave through the collections, ... to the Emperor's bathroom. Worth a visit and the fee.",4,February 2018
Ethnological Museum,Great way to learn the history and culture of Ethiopia,"The Ethnological Museum is located in the former Emperors palace, now part of a university and institute. While the National Museum boasts Lucy...the Ethnological Museum is where the real museum experience can be found. 

You'll pay at a small window on your left upon entering...",5,August 2018
Ethnological Museum,More history ,The history of Ethiopia and it's culture is displayed. A lot of replicas created to show the history. I enjoyed learning that President JFK donated a library to this institute which is now a University.  Due to the Italian invasion a lot of items reflecting...,3,August 2018
Ethnological Museum,Just go there,"Go with an open mind, it´s not the British museum but it´s quite interesting. Certainly worth a visit if you are smart enough to spend a day or two in Addis",4,October 2017
Ethnological Museum,Very Educative ,"The museum is situated in the old palace of the emperor. It covers the tribes and their customs, handicrafts and art.",4,August 2018
Ethnological Museum,Nowhere is it call the Ethnological Museum!,"As you walk on the campus of the University of Addis Ababa, you can walk straight up the center road to this museum.  It a stately home of the former emperor Haile Selassie.  But the building is identified as the ""Institute of Ethiopian Studies."" So...",4,August 2018
Ethnological Museum,Fascinating museum,Great museum in the former palace of emperor Haile Selassie. Recommend getting the guided tour which costs about 200 birr.,4,August 2018
Ethnological Museum,Interesting insight,We took two young kids fresh off the plane from an overnight flight and we still had a good time. It's set in very relaxing grounds and the king's bedroom was a particularly fascinating exhibit. A good way to start our journeys in Ethiopia.,4,June 2018
Gheralta Rock,Gheralta rock tour,"My friend and I went up there with Rock Ethiopia tours, (email: aregawigebrehiwet6@gmail.com), and it was amazing! The churches are incredible, the view was fantastic! Truly an incredible experience!",5,October 2018
Gheralta Rock,Incredible place,"This place is incredible and others churches also are worth of visiting. I vistited this area with Rock Ethiopia tours with Tomas, he showed me many beautiful places in this area. If you want visit this area with responsible giude you should contact with Tomas....",5,September 2018
Gheralta Rock,great,"great and challenging walk .very nice  view, interesting paintings 
very colourful.,the price of the rope and the scout (and how many )has to be settled before with the guide",5,September 2018
Gheralta Rock,Rock ethiopia tours,"I visited the tigray churchs with 
""Rock ethiopia tours"" and was amazing. There was very good guide, he speaks clear English and has a lot of knowlege. They took us from Mekele to hauzen and we visited in Mariam korkor and Daniel korkor. We slept...",4,September 2018
Gheralta Rock,"Unmissable, simply breathtaking!","If you go to Ethiopia and take the normal tour of Omo Valley and Lalibela only, you are missing a real gem. Gheralta (not only the rock but the whole area) is breathtaking! Such a beautiful landscape with a lot of local people working in...",5,November 2017
Gheralta Rock,Hots Hill Side Monasteries,This is a remarkable tourist attraction area with ancient Reck-hewn churches. Travelers need to hike to see some of these monasteries,5,February 2018
Gheralta Rock,One of my favorite spots on earth,"Beautiful views of the Tigray countryside, fresh air, and refreshing hikes all only 2 hours away from Mekelle.",5,January 2018
Gheralta Rock,Simply extraordinary!,"When your guide points out a tiny white speck high up in the Gherelta Mountain and tells you this is your destination….well, it is hard to believe. Until you start to hike. I'll tell you from the outset: this is one tough hike because the...",5,December 2017
Gheralta Rock,Stunning Beaty,"This wasn't my first time in this region and also this time it was outstanding. Unattached culture, lovely, smiling people and hours of walking to visit remote villages. The landscape is breathtaking. Church buna Yemata Guh that you have to climb to get there isn't...",5,May 2018
Gheralta Rock,"A magical place, somewhere between earth and heaven!","I spent three days in gheralta, camping.It was one of the best trips in Ethiopia mainly because it brings you with a close touch with nature (especially if you camp) and wonderful people. 

I highly recommend to skip the lodges and take a chance on...",5,May 2018
Simien Mountains National Park,Perfectly organised trek with Peter,"We did a 3-day trek to the Simien Mountains with pickup and dropoff in Gondar. It was an amazing trip! Next to the beauty of the national park (obviously), this great experience could be attributed to the well-organised tour operator Peter. We slept in tents...",5,November 2018
