Destination Name,Review Head,Review Body,Rating,Date
Debre Berhan Selassie Church,Small quiet church,Visited on December 3rd morning. A small church with colorful walls inside depicting stories from Bible. Entry fee 100 birr. Enough info available online so no guide required I feel. Walked in the quiet surroundings.,3,December 2017
Debre Berhan Selassie Church,Small but beautiful,Interesting old wall paintings all over the interior walls of Church. The Story of Jesus on the right side should be very familiar for Christians. The Story of Virgin Mary on the left side is interesting and some sounds quite new to me.,3,November 2017
Debre Berhan Selassie Church,A real gem!,"The church is not very significant from the outside, but the inside is a masterpiece of frescoes depicting scenes from the bible and wonderful faces of angels on the roof. Women need to have a different entrance to the church.",5,November 2017
Debre Berhan Selassie Church,A wonderful cultural experience,Really enjoyed visiting this most historic church with a great guide. So much history and so much to lean about. Thank you.,4,November 2017
Debre Berhan Selassie Church,its a  amazing cultural experience,"great to learn about history of a country never colonized , the guides are very knowledgeable and proud of their heritage",4,October 2017
Debre Berhan Selassie Church,Worth the visit,"My friend and I visited the church during our Gondar trip. Apart from Lalibela, it was the most interesting architectural point in our 2-week trip to northern Ethiopia. We visited it with a guide (contracted for the whole Gondar) from the offical guide place at...",5,September 2017
Debre Berhan Selassie Church,Debre Birhan Gondar very impressive.,"This was a great place to visit, especially because our guide Haile was well known to the clergy. ( it is his church community )
We got to 'talk' to the priest and our boys could ' follow ' the ceremony, music and dance as...",5,August 2017
Debre Berhan Selassie Church,Interesting artwork inside the church,We were brought here by our guide Aset. It was an interesting church a little out of town but worth it if you get a guide to come explain all the meanings of the paintings. You will also want some explanation of the different ceremonial...,4,August 2017
Debre Berhan Selassie Church,interesting church,"I would highly recommend to have guide for such historical church when I enter to the church  suddenly I saw up and the roof  is decorated by the most colorful paintings and full of history 
don't miss this really fascinating orthodox church it will take...",5,June 2017
Debre Berhan Selassie Church,Worth a visit! ,This church has beautiful biblical paintings inside--each tell a story. The most famous is the ceiling that is covered with paintings of angles. There is a monk there that will be more than happy to try and tell you about the paintings in his very...,5,June 2017
National Museum of Ethiopia,Eclectic collection of anthropology and art,"Although a bit run down in appearance on the inside and out, the National Museum contains some amazing pre-Homo sapiens artifacts and informative plaques about the progression of human development, much of which happened in the Rift Valley in Ethiopia and Kenya. Photos are allowed...",4,July 2019
National Museum of Ethiopia,A well organized tour through history and culture,"The museum is modest but well organized. I visited twice and each time had a wonderful experience that included history dating back to the biblical era.... visiting “Lucy” and “Ardi” was a treat too! 

The total area spoke to my interest in politics and political...",5,July 2019
National Museum of Ethiopia,Great variety of prehistoric finds,The basement section was very interesting with the remains of 'Lucy' shown and so was the collection of imperial furniture and picture collections on the ground floor.,4,July 2019
National Museum of Ethiopia,"Worth going to, but won't blow you away","The problem with this website is that these star ratings are subjective and based on what the competing sources of entertainment are. I'm giving this four stars because it's worth seeing Lucy, as dozens of other reviewers have said and some of the art is...",4,May 2019
National Museum of Ethiopia,House of Lucy & Real Testament of Ethiopia,"House of Lucy & Real Testament of Ethiopia

This museum represents what Ethiopia has remaining of its prized history and past archaeological treasures following the notoriously ruthless Portuguese and Italian rule. The fact that a place like this exists when Ethiopia experienced massive famine and...",4,December 2018
National Museum of Ethiopia,Lucy,"If you have EVER heard about EVOLUTION it's a must see. The museum holds one of the oldest skeleton of an ancestor of ours - Lucy, an Australopithecus.

There is also a great excibiton of modern Ethiopian heritage",5,August 2018
National Museum of Ethiopia,A Visit To The National Museum of Ethiopia,"If you want to learn about and experience the history of Ethiopia, then the National Museum of Ethiopia is where you must go. Everything is well displayed and clearly explained. I have now been through the museum 3 different times now and always make it...",5,September 2018
National Museum of Ethiopia,A nice afternoon activity in Addis (especially if it's raining),"The museum is not very big, but certainly contains a lot for the size and price of 10 Birr. Lucy is certainly the main attraction, but there are other archaeological findings in there which are also very cool.  The bottom floor is about the archaeological...",4,June 2019
National Museum of Ethiopia,Lucy and Selam - so much of our history,"I went there with a guide (not one of the museum) who was helpful and informative but at least the ""human evolution"" displays have good English signage, and without a guide, you will still get a good understanding. For someone like me who already has...",4,June 2019
National Museum of Ethiopia,Very small,"Small Museum with limited items to display with no guid to give you a tour there.
Any way worth a visit and have a potential",3,June 2019
St. George's Cathedral,So stressful,"ok, the church is nice. but they stressful : not do photo, you have to pay. don't go inside you have to pay. A lot of persons that tell you what to do! My god!!! So stressful.",3,November 2014
St. George's Cathedral,amazing shaped building,The Cathedral itself was interesting. The tour of the museum so-so. Interesting but rushed if the guide wants to take another tour. Also he isn't shy about asking for a tip. Luckily getting 50birr out of 3 Scots was beyond his abilities and he settled...,5,November 2014
St. George's Cathedral,"Small but interesting museum, by candlelight","The man who met us at the entrance tried to overcharge us to be a tour guide, so we just visited the museum by ourselves. It's small but worth a visit by itself, with some interesting Ethiopian religious objects and paintings.

Fortunately there was a...",4,November 2014
St. George's Cathedral,"Geo Earth, As Below As Above","Well, I have to say the St Georges Cathederal is my favourite place that I have found on this Earth. The first time I went to this Church was with my Queen and we received a blessing there and it then became the Centre in...",5,September 2014
St. George's Cathedral,Outstanding Cathedral,"This is the main place of worship in Addis and open to visitors at most times of the day. Superb stained glass and paintings - we had our own very knowledgable guide to explain everything, but if you are on your own you can obtain...",4,September 2014
St. George's Cathedral,Beautiful!,"This church is amazing, the stained glass is breath taking. It was truly an amazing experience.Remember to remove your shoes before entering.",5,October 2014
St. George's Cathedral,Guide shouldn't cost anything,"The museum was small but full of really cool artifacts, after paying an entrance fee a guide offered to show us around, we declined because we assumed it would cost extra (because it usually does) but in this case we later found out that the...",4,August 2014
St. George's Cathedral,Cathedral,One of the few Cathedrals or Churches in Addis Ababa that is open daily.  All seem to charge about $10 to enter the grounds.  This is a very visited place by the local Christian Orthodox Ethiopian Churches.  It is wonderful to see the reverence and...,4,July 2014
St. George's Cathedral,A gorgeous cathedral,The St. George's Cathedral was the only real touristy thing I did in Addis as I was there for business but it was highly worth the visit to get a glimpse of the local culture and see this beautiful place. DO the tour for a...,5,June 2014
St. George's Cathedral,Nice but not the best in Ethiopia,It is an interesting visit but the great thing about it it is if one can hear the instruments played during ceremonies. There is a museum about the Orthodox Church and Emperors but the amazing thing about this museum is that you have to visit...,4,May 2014
Abidjatta-Shalla National Park,"""National park"" with a lot of cattle","This so called National Park is interesting in a way that some 3 000 people live within the park with a lot of cattle (cows, sheeps, goats, horses and camels) and corn fields. Concept of national park is very misleading as most of the area...",2,September 2017
Abidjatta-Shalla National Park,The most endangerd national park in ethiopia!,"Abijata Shala National park is located in the great rift valley of Ethiopia. The park is the home for birds and some mammals, but now it is endangered due to human engulf the park and most of the animal retreat back to the other areas....",5,January 2017
Abidjatta-Shalla National Park,"Stunning nature, wilderness, flamingos, mesmerising birdlife, breathtaking views","we stayed overnight in the park in the 10000 Flamingos lodge. This was an experience of a lifetime. From the lodge you literally have hundreds of kilometers of beauty at your foot. You watch the sunset above the lake from the perfect lookout armchair, and...",5,April 2017
Abidjatta-Shalla National Park,Nice Park To Pass By,"This National park is one the mean road from Addis Abeba to Hawassa around Lake Langano, in the great Reft valley. the two lakes Abidjatta-Shalla are nice to visit Shalla is the deepest lake in Ethiopia 261M and there Hot springs around it. and Abidjatta...",4,March 2017
Abidjatta-Shalla National Park,Lovely,"It's a small park with a few animals (ostriches, antelopes, warthogs) but the twin lakes are very nice and when I was there there were many flamingoes.",4,March 2017
